id,latitude,longitude,proximity_to_major_city,proximity_to_capital_city
1022,40.9798,15.249,45204.31708040339,252149.91421802464
1023,37.4399,14.5019,51454.503655958964,171266.4990987442
383,53.4029,10.3601,28904.07880856969,226428.5789156256
335,53.956,27.5756,6254.743361179127,6254.129961387269
382,45.7215,9.3273,21559.690806823495,158596.76605010848
405,46.3165,22.3681,64105.07169519906,223068.15624496393
2211,32.0833,34.8333,5975.070252940713,50278.171522651515
1586,19.5804,80.4418,127086.44650381678,1030436.9106260608
1020,50.7781,6.0864,29943.963107726056,122241.7193973783
1943,-18.0675,-65.7641,84812.41569631264,307482.2565973644
1565,29.4778,79.8486,93234.77228928506,271208.4043812148
755,-16.5835,-68.302,18785.591136367922,18673.954193621925
349,44.127,12.0739,34636.26911762488,36986.172023424086
399,45.2013,7.8662,21182.8027493281,167085.40845479662
1021,45.4601,12.1948,11192.55393336752,170966.53846648525
1985,38.8824,40.4846,1195.3481963297772,374564.61969899107
1591,22.1467,85.2758,46833.923436427474,553494.1206438524
2065,17.2352,8.0859,28776.42994482614,762611.1638531844
1585,12.0178,75.7067,85609.15364312618,725230.1188621559
1556,32.4356,76.1242,42183.16968639897,318468.79913961544
410,56.2189,-3.7683,45458.33426747969,234483.51153736384
1026,42.9644,22.1374,45024.54577083474,101226.38182444074
1476,51.0275,3.0541,24714.05222136693,92997.18435667458
334,54.7309,55.9863,7420.022404749985,1105480.2991264905
1067,43.1971,45.7031,13526.018313535002,181711.44799031937
338,56.1394,47.2412,1178.9124233887253,599979.3233719231
1227,24.7667,93.8946,6707.508167377003,372558.3742800232
1114,27.7365,85.6858,35563.37585566942,36155.82328743936
1013,-13.4537,-72.0098,8909.860052403314,535340.5727047033
1024,48.8068,21.7968,38625.00145511752,250986.1534633244
377,44.5748,8.7011,25796.47649641949,138759.79769876212
407,48.4437,22.9394,54822.41386541832,308717.73041663074
1515,38.814,48.6804,16230.567107564664,202503.54591850995
1577,19.5908,83.9575,93323.88293651964,808607.385756538
1231,25.691,91.8676,13456.554800128311,265062.8761028127
1229,26.7554,92.8674,15088.374012573828,328876.3353333622
337,39.2991,8.9868,13211.88853868131,294452.37908992165
1803,15.0309,-91.1485,25988.817657523698,81072.49828527975
989,-13.1276,-74.2071,5452.592657557821,329038.6252517693
1117,27.6981,85.3198,2092.082774996306,407.9770979634149
2222,16.4666,97.7833,12651.763599877379,404256.6075038455
1523,51.8629,23.9501,31439.858720798118,205027.70088309402
701,16.7992,-3.0102,3688.4355155886988,517949.2323537196
1069,42.4801,46.8017,46821.394564551265,184418.43186879528
1211,22.3297,86.0449,53262.37367884077,472088.5128830837
425,52.4459,-3.5485,93885.37532286797,199406.52131775065
1202,24.7451,85.3124,32126.084497723226,328760.453288871
1827,15.4707,-90.3722,839.5136677163181,96911.72609106365
398,50.2331,2.7905,5605.412385929652,129608.95189279593
1228,23.7752,91.6918,42425.81993591514,130929.05102993797
415,43.133,-2.0764,22253.653189938632,301509.5445269663
1065,43.7393,43.4289,30835.078324675407,254724.3875258726
1559,31.4099,76.9921,38243.81902303544,305795.3512700591
353,46.1037,13.1396,8602.076999292589,105488.10101166631
997,-9.4598,-77.1789,39288.9915985807,287732.69439136813
1947,50.4575,4.8559,1747.463601884708,56084.48127773582
